id,Balkón / loggia,Cena,Identifikačné číslo:,Kategória,Pivnica,Ulica,Úžitková plocha,Výťah,Lokalita,Poschodie,Stav nehnuteľnosti:,Materiál,Stav,Zastavaná plocha
5627853,Áno,"389 011,00 EUR",B.01.01,4 izbový byt / Predaj,Áno,Pod Vachmajstrom,106 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5627868,Áno,"297 087,00 EUR",B.01.03,3 izbový byt / Predaj,Áno,Pod Vachmajstrom,83 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5627897,Áno,"301 085,00 EUR",C.01.02,3 izbový byt / Predaj,Áno,Pod Vachmajstrom,90 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5627911,Nie,"101 900,00 EUR",24363,1 izbový byt / Predaj,Nie,staré mesto,35 m2,NA,Staré Mesto,NA,NA,NA,kompletná rekonštrukcia,NA
5627934,Áno,"362 620,00 EUR",D.01.01,3 izbový byt / Predaj,Áno,Pod Vachmajstrom,98 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,kompletná rekonštrukcia,NA
5627938,Áno,"282 807,00 EUR",D.01.02,2 izbový byt / Predaj,Áno,Pod Vachmajstrom,73 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5627939,Áno,"350 444,00 EUR",D.02.01,3 izbový byt / Predaj,Áno,Pod Vachmajstrom,98 m2,Áno,"Nové Mesto, časť Koliba",2 / 3,Novostavba,skelet,vo výstavbe,NA
5628123,Nie,"109 900,00 EUR",330946,1 izbový byt / Predaj,Áno,Karadžičova,49 m2,Nie,Staré Mesto,2 / 4,NA,tehla,pôvodný,NA
5628184,Nie,"85 000,00 EUR",MK130,2 izbový byt / Predaj,Nie,Grösslingova,62 m2,NA,Staré Mesto,NA,NA,NA,NA,NA
5628999,Áno,"135 980,00 EUR",7079849,2 izbový byt / Predaj,Áno,Ružinov,54 m2,Áno,Ružinov,NA,Novostavba,NA,NA,NA
5629258,Áno,"220 000,00 EUR",9596313,4 izbový byt / Predaj,Nie,Janka Alexyho,96 m2,Áno,Dúbravka,3 / 7,Novostavba,tehla,NA,NA
5629526,Áno,"259 900,00 EUR",NA,NA,Nie,Smaragdová,116 m2,Nie,Jarovce,1 / 1,Novostavba,tehla,vo výstavbe,74 m2
5630938,Nie,"116 500,00 EUR",BP0501B2,2 izbový byt / Predaj,Áno,Hornádska,53 m2,Áno,Podunajské Biskupice,2 / 8,NA,NA,kompletná rekonštrukcia,NA
5631592,Áno,"315 000,00 EUR",TAL-128,4 izbový byt / Predaj,Áno,Lehockého,106 m2,Nie,Staré Mesto,3 / 4,NA,tehla,kompletná rekonštrukcia,NA
5631654,Nie,"104 400,00 EUR",NA,1 izbový byt / Predaj,Nie,Kukučínova,45 m2,Nie,"Nové Mesto, časť Pasienky / Kuchajda",1 / 6,NA,panel,čiastočná rekonštrukcia,NA
5632132,Nie,"214 600,00 EUR",92,2 izbový byt / Predaj,Nie,Bajkalská,67 m2,Áno,Nové Mesto,17 / 24,Novostavba,tehla,NA,NA
5632509,Áno,"129 500,00 EUR",1266,3 izbový byt / Predaj,Áno,Jamnického,70 m2,Áno,Karlova Ves,1 / 12,NA,NA,pôvodný,NA
5632807,Nie,"88 000,00 EUR",1276,2 izbový byt / Predaj,Nie,Podunajská,34 m2,NA,Podunajské Biskupice,NA,Novostavba,NA,NA,NA
5632828,Áno,"59 670,00 EUR",NA,1 izbový byt / Predaj,Áno,Bystrická,28 m2,Áno,Devínska Nová Ves,NA,Novostavba,iný,NA,NA
5632860,Áno,"78 030,00 EUR",NA,2 izbový byt / Predaj,Áno,Bystrická,40 m2,Áno,Devínska Nová Ves,NA,Novostavba,iný,vo výstavbe,NA
5632893,Áno,"118 830,00 EUR",NA,3 izbový byt / Predaj,Áno,Bystrická,66 m2,Áno,Devínska Nová Ves,NA,Novostavba,iný,vo výstavbe,NA
5633044,Áno,"106 000,00 EUR",151568492512678,3 izbový byt / Predaj,Nie,Hornádska,70 m2,Áno,Podunajské Biskupice,0 / 7,NA,panel,kompletná rekonštrukcia,NA
5633216,Nie,"91 500,00 EUR",BP0502B1,3 izbový byt / Predaj,Áno,Šancová,60 m2,Nie,Staré Mesto,0 / 5,NA,NA,kompletná rekonštrukcia,NA
5633903,Áno,"140 000,00 EUR",263291,3 izbový byt / Predaj,Áno,Exnárova,68 m2,Nie,Ružinov,4 / 4,NA,tehla,čiastočná rekonštrukcia,NA
5634104,Áno,"164 000,00 EUR",NA,4 izbový byt / Predaj,Áno,NA,90 m2,Nie,Karlova Ves,1 / 4,NA,tehla,kompletná rekonštrukcia,NA
5634172,Áno,"39 900,00 EUR",BA117SF,Dvojgarsónka / Predaj,Nie,Stavbárska,40 m2,Áno,Vrakuňa,5 / 10,NA,panel,čiastočná rekonštrukcia,40 m2
5634407,Nie,"70 000,00 EUR",NA,1 izbový byt / Predaj,Áno,NA,38 m2,Áno,Podunajské Biskupice,NA,NA,NA,čiastočná rekonštrukcia,NA
5634456,Nie,"85 500,00 EUR",116935,1 izbový byt / Predaj,Nie,Podunajská,35 m2,NA,Podunajské Biskupice,0 / 4,Novostavba,NA,NA,NA
5634510,Áno,"119 000,00 EUR",31143,2 izbový byt / Predaj,Áno,Mierová,46 m2,Áno,"Ružinov, časť Prievoz",NA,Novostavba,NA,NA,NA
5634511,Áno,"168 000,00 EUR",31144,3 izbový byt / Predaj,Áno,Mierová,79 m2,Áno,"Ružinov, časť Prievoz",NA,Novostavba,NA,NA,NA
5634513,Nie,"229 000,00 EUR",31145,4 izbový byt / Predaj,Áno,Mierová,138 m2,Áno,"Ružinov, časť Prievoz",NA,Novostavba,NA,NA,NA
5635227,Nie,"339 900,00 EUR",21012500,3 izbový byt / Predaj,Áno,Drotárska cesta,203 m2,Áno,Staré Mesto,5 / 5,Novostavba,tehla,NA,NA
5635682,Áno,"161 000,00 EUR",NA,3 izbový byt / Predaj,Áno,Vysoká,68 m2,Nie,Staré Mesto,1 / 4,NA,tehla,čiastočná rekonštrukcia,NA
5635712,Áno,"119 000,00 EUR",116471,2 izbový byt / Predaj,Áno,Bebravská,65 m2,Áno,Vrakuňa,1 / 8,NA,tehla,NA,56 m2
5635715,Nie,"87 500,00 EUR",116463,1 izbový byt / Predaj,Áno,Podunajská,35 m2,Áno,Podunajské Biskupice,1 / 3,NA,tehla,NA,35 m2
5635763,Nie,"280 000,00 EUR",NA,3 izbový byt / Predaj,Áno,Moskovská,96 m2,Áno,Staré Mesto,2 / 4,NA,tehla,NA,NA
5635806,Nie,"124 700,00 EUR",NA,2 izbový byt / Predaj,Áno,Mozartova,45 m2,Áno,Staré Mesto,3 / 5,NA,panel,kompletná rekonštrukcia,NA
5635828,Nie,"250 000,00 EUR",1573449,3 izbový byt / Predaj,Nie,Bajkalská,86 m2,Áno,Nové Mesto,20 / 22,Novostavba,NA,NA,NA
5635892,Nie,"125 500,00 EUR",1316,2 izbový byt / Predaj,Áno,Mozartova,45 m2,Áno,Staré Mesto,3 / 5,NA,NA,kompletná rekonštrukcia,NA
5635906,Áno,"141 000,00 EUR",1318,3 izbový byt / Predaj,Áno,Strečnianska,87 m2,Áno,Petržalka,10 / 12,NA,NA,kompletná rekonštrukcia,NA
5635937,Áno,"241 650,00 EUR",131,3 izbový byt / Predaj,Áno,Drotárska cesta,91 m2,Áno,Staré Mesto,4 / 5,Novostavba,NA,NA,NA
5636077,Nie,"410 000,00 EUR",MOC-402,4 izbový byt / Predaj,Nie,Lopúchová,150 m2,Áno,Nové Mesto,3 / 0,Novostavba,tehla,NA,NA
5636778,Nie,"85 500,00 EUR",NA,2 izbový byt / Predaj,Áno,Podunajská,34 m2,Áno,"Vrakuňa, časť Dolné hony",1 / 5,Novostavba,tehla,NA,NA
5636971,Áno,"160 000,00 EUR",BP0504B5,2 izbový byt / Predaj,Nie,Béžova,67 m2,Áno,Petržalka,5 / 5,Novostavba,tehla,NA,NA
5637138,Áno,"281 520,00 EUR",NA,3 izbový byt / Predaj,Áno,Drotárska cesta,79 m2,Áno,Staré Mesto,4 / 5,Novostavba,tehla,NA,NA
5637197,Nie,"104 980,00 EUR",24376,2 izbový byt / Predaj,Nie,Bratislava-Dúbravka,53 m2,NA,Dúbravka,NA,NA,NA,NA,NA
5637294,Nie,"97 000,00 EUR",360,1 izbový byt / Predaj,Nie,Nobelova,40 m2,Áno,Nové Mesto,8 / 0,NA,NA,NA,NA
5637372,Áno,"126 000,00 EUR",NA,3 izbový byt / Predaj,Áno,Vígľašská,70 m2,Áno,"Petržalka, časť Lúky",2 / 12,NA,panel,čiastočná rekonštrukcia,NA
5637598,Áno,"120 000,00 EUR",3118,2 izbový byt / Predaj,Nie,Bosákova,63 m2,Áno,Petržalka,3 / 19,Novostavba,NA,NA,NA
5638123,Áno,"99 000,00 EUR",NA,2 izbový byt / Predaj,Nie,Zaluhy,43 m2,Áno,Dúbravka,10 / 12,NA,panel,pôvodný,NA
5638394,Nie,"317 000,00 EUR",9779,4 izbový byt / Predaj,Nie,Rusovská cesta,195 m2,Áno,Petržalka,6 / 7,NA,NA,NA,NA
5638415,Nie,"259 900,00 EUR",mama166,3 izbový byt / Predaj,Nie,Fraňa Kráľa,177 m2,Nie,Staré Mesto,1 / 3,NA,tehla,kompletná rekonštrukcia,NA
5639810,Áno,"215 000,00 EUR",NA,3 izbový byt / Predaj,Áno,Slovanské nábrežie,100 m2,Nie,Devín,3 / 3,Novostavba,tehla,kompletná rekonštrukcia,NA
5640210,Áno,"95 000,00 EUR",NA,1 izbový byt / Predaj,Nie,Nobelova,39 m2,Áno,Nové Mesto,8 / 9,Novostavba,tehla,vo výstavbe,NA
5640308,Áno,"97 000,00 EUR",-13,2 izbový byt / Predaj,Áno,Bieloruská,52 m2,Áno,"Podunajské Biskupice, časť Medzi jarkami",NA,NA,panel,kompletná rekonštrukcia,NA
5641950,Nie,"85 000,00 EUR",NA,2 izbový byt / Predaj,Nie,Podunajská,36 m2,Nie,Podunajské Biskupice,0 / 3,NA,tehla,kompletná rekonštrukcia,NA
5641958,Áno,"116 000,00 EUR",1366,Dvojgarsónka / Predaj,Nie,Karadžičova,41 m2,Áno,Ružinov,1 / 14,NA,NA,čiastočná rekonštrukcia,NA
5642091,Áno,"117 000,00 EUR",1368,2 izbový byt / Predaj,Nie,Bebravská,65 m2,Áno,Vrakuňa,1 / 0,NA,NA,čiastočná rekonštrukcia,NA
5642293,Áno,"132 980,00 EUR",24439,2 izbový byt / Predaj,Nie,Ružinov,69 m2,Áno,Ružinov,NA,NA,NA,kompletná rekonštrukcia,NA
5642311,Nie,"104 000,00 EUR",225108,2 izbový byt / Predaj,Nie,Pri Šajbách,62 m2,Nie,Rača,5 / 6,Novostavba,tehla,NA,NA
5642587,Áno,"110 000,00 EUR",Z3131,2 izbový byt / Predaj,Áno,Bebravská,65 m2,Áno,"Vrakuňa, časť Dolné hony",1 / 6,NA,iný,čiastočná rekonštrukcia,NA
5642771,Áno,"133 900,00 EUR",116651,2 izbový byt / Predaj,Áno,Sibírska,56 m2,Áno,Nové Mesto,4 / 5,NA,panel,NA,56 m2
5642774,Áno,"155 000,00 EUR",116560,3 izbový byt / Predaj,Áno,"Pri Kríži, 86 m2, kvalitne zrekonštruovaný a zaria",86 m2,Áno,Dúbravka,7 / 8,NA,panel,NA,86 m2
5643374,Nie,"182 900,00 EUR",201507265851639790,3 izbový byt / Predaj,Nie,Šancová,83 m2,Áno,Staré Mesto,4 / 6,NA,tehla,kompletná rekonštrukcia,NA
